cohort,seq,n_subjects,bic,rss,gas_a,gas_a_te,gas_phi_deg,gas_ppm_from_gas,gas_fwhm_hz,gas_fwhm_ppm,gas_wL_hz,gas_wG_hz,gas_T2s_ms,rbc_a,rbc_a_te,rbc_phi_deg,rbc_ppm_from_gas,rbc_fwhm_hz,rbc_fwhm_ppm,rbc_wL_hz,rbc_wG_hz,rbc_T2s_ms,mem_a,mem_a_te,mem_phi_deg,mem_ppm_from_gas,mem_fwhm_hz,mem_fwhm_ppm,mem_wL_hz,mem_wG_hz,mem_T2s_ms,ratio_rbc_gas,ratio_mem_gas,ratio_rbc_mem,ratio_rbc_gas_te,ratio_mem_gas_te,ratio_rbc_mem_te,model,mem1_a,mem1_a_te,mem1_phi_deg,mem1_ppm_from_gas,mem1_fwhm_hz,mem1_fwhm_ppm,mem1_wL_hz,mem1_wG_hz,mem1_T2s_ms,mem2_a,mem2_a_te,mem2_phi_deg,mem2_ppm_from_gas,mem2_fwhm_hz,mem2_fwhm_ppm,mem2_wL_hz,mem2_wG_hz,mem2_T2s_ms
ALL,v2,17,-10706.926330781307,0.026382026420859406,0.12305960655418445,0.13094561352967873,0.049806384130869547,0.0,29.075374775572804,1.650881101706289,29.075374775572804,0.0,10.94774834858581,0.1658228101699821,0.2487356747786009,225.1051691685723,218.03611863602646,189.8020885117022,10.776840656637091,189.8020885117022,0.0,1.6770620844046473,0.5409585253772464,0.7472183575353967,-167.27772869986052,197.36661359394276,151.2041435326018,8.585274136083422,91.472631142096,93.02437071431262,2.105166424325921,1.3474999214869792,4.395906508437085,0.3065351637712758,1.8995342270264375,5.706325988277875,0.3328821786432328,M2,,,,,,,,,,,,,,,,,,
ALL,v2,17,-10797.703663880717,0.02365367966993619,0.12314139004346134,0.13103894538477026,0.14405805646913364,0.0,29.097907049494946,1.6521604697448322,29.097907049494946,0.0,10.939270843169307,0.19275760429665448,0.3001974263778175,228.18517882173086,217.5835528562054,207.37275068295773,11.774491567309484,207.37275068295773,0.0,1.534964864648198,0.9152816936759842,1.3394613469684442,nan,196.40831483847336,209.69999999999982,11.906631288503773,209.69999999999982,0.0,1.5179298339713447,1.5653356213424496,7.432770519749258,0.21059921292918587,2.2909023382044658,10.22185689174602,0.2241180210666353,M3,0.3974278778018391,0.6170713470448722,123.02905153336128,200.1205434366003,205.95172716837766,11.693806765018598,205.95172716837766,0.0,1.545555798731193,0.5178538158741451,0.7223899999235721,-126.47202803810167,195.75464378768177,155.8183839729256,8.847267744092191,155.8183839729256,0.0,2.0428262575172065
ALL,v3,58,-10717.620029784124,0.026107417228075372,0.06780899221772724,0.07175522029381562,-0.03759479134556681,0.0,26.47860505921879,1.5034381853792513,26.47860505921879,0.0,12.021399370242428,0.21974083537144234,0.33542645927662845,193.0947729489295,217.97949363860658,197.98589569679757,11.241511971320632,197.98589569679757,0.0,1.6077402133294456,0.7388271190261746,1.0263729589497452,151.81207654985442,197.46571204549605,153.8759201070228,8.73697589362702,95.3422487250673,92.84777908338309,2.068614023314381,3.2405854767149265,10.895710065324105,0.29741847546294187,4.674593122328382,14.303808904036009,0.3268075764777159,M2,,,,,,,,,,,,,,,,,,
ALL,v3,58,-11738.653471883843,0.009419897081872186,0.06819172406932252,0.07218625342088315,0.289176435206049,0.0,26.647416232398665,1.513023175347933,26.647416232398665,0.0,11.945243899360895,0.2925322088405156,0.4800676174866793,199.3226625721852,217.02126816048417,231.87573294885124,13.165755159625846,231.87573294885124,0.0,1.372760668551744,1.1611853713445148,1.7133469953407126,nan,196.2464936693163,207.5999999999999,11.787394637545944,207.5999999999999,0.0,1.5332846155288573,4.289849139803717,17.02824480818338,0.25192550307604894,6.650402185131248,23.7350868641293,0.28019287324294406,M3,0.519153504780561,0.838620685831299,85.92249525299407,200.7769838401671,224.48284745625585,12.745991870553542,224.48284745625585,0.0,1.4179697459772223,0.6420318665639537,0.8747263095094137,187.95448847248406,195.8025035637965,144.77160039343346,8.220038468913788,144.77160039343346,0.0,2.1987039261757624
EBV,v3,17,-9807.763836413786,0.0635921291290827,0.1141133577208257,0.12054521395891357,-0.10901641034777809,0.0,25.667283643230157,1.457371876573131,25.667283643230157,0.0,12.401385772184977,0.22225347143359525,0.3388456104436688,184.0239940620277,217.87782172120626,197.4111494474269,11.20887824849895,197.4111494474269,0.0,1.6124210161116592,0.7604516222487034,1.0630707119105738,149.29483480326707,197.18703741707174,156.8164891658663,8.90393951576356,90.76979286806589,99.71123570189216,2.029824082128961,1.9476551726514832,6.664001808702548,0.29226510264568534,2.8109420466843282,8.818854577444352,0.3187423062711304,M2,,,,,,,,,,,,,,,,,,
EBV,v3,17,-10605.320918815058,0.02855294619344732,0.11469342546759984,0.12119612827678021,0.10979533289684074,0.0,25.814662655894963,1.465739962235809,25.814662655894963,0.0,12.33058476985762,0.3416036669736626,0.5798340244841133,191.76703127583843,216.5027574622532,247.6688248925109,14.062476774688294,247.6688248925109,0.0,1.285223872330069,1.1883361011150473,1.7688197020002268,nan,195.877427844923,209.95000000000027,11.920826127903542,209.95000000000027,0.0,1.516122344290499,2.978406701002783,10.36097837578968,0.287463846846971,4.784261945727542,14.594688189714327,0.3278084384906059,M3,0.5026549093657379,0.8424892933826785,73.9405878061869,202.01607338429545,241.75499367392342,13.726693237148169,241.75499367392342,0.0,1.3166631280143222,0.6856811917493094,0.9263304086175482,179.45877880221332,195.60037654893407,140.81383341834876,7.9953190025420655,140.81383341834876,0.0,2.260501532105249
HC,v2,2,-11527.27001849705,0.011822427166747557,0.033767146842075,0.03537067067022328,0.09260082226962733,0.0,21.717451112195324,1.2331029228374637,21.717451112195324,0.0,14.65687131235421,0.2798586748448084,0.40997407682954556,-93.21598046102301,218.0494231176114,178.72593968541238,10.147944041609781,178.72593968541238,0.0,1.7809943354840905,0.42789356688368757,0.5894024824436597,-130.51293569083805,197.87344020140876,149.9027948508283,8.511384393920057,108.4785241570175,76.80247642011592,2.1234419711823795,8.28789817966187,12.671889895965917,0.6540380517589814,11.590791722665337,16.663593629279042,0.6955757551780154,M2,,,,,,,,,,,,,,,,,,
HC,v2,2,-11580.061680262139,0.01100117451661832,0.03378353907802179,0.03538880502663156,0.13243037122799386,0.0,21.730198436833955,1.2338267077415508,21.730198436833955,0.0,14.64827332843113,0.28617144942972267,0.42253332176307756,-94.17974756312503,218.0759122011225,182.4089814961937,10.357064789636087,182.4089814961937,0.0,1.7450340634155277,0.5378743671867541,0.7463825893477021,nan,197.22309862001856,182.25,10.348037922412086,182.25,0.0,1.7465563027917186,8.470736259123731,15.92119659058081,0.5320414336278675,11.939745392507701,21.090923776206,0.5661082235751892,M3,0.1424702876363597,0.20555932109767164,-201.49993575803884,201.5687803717615,171.60703357508098,9.74373712585779,171.60703357508098,0.0,1.8548766886324897,0.3954040795503944,0.5408232682500305,-110.91983819375469,196.91808403415178,146.60244946551012,8.32399290308697,146.60244946551012,0.0,2.1712453464747647
HC,v3,4,-11806.96050221961,0.008991939686934111,0.04763374536310209,0.05004860639318036,-0.012524478178401258,0.0,23.149187031037908,1.3143959685607152,23.149187031037908,0.0,13.75036997009908,0.3726655186170713,0.5578926515440001,199.9775635768839,217.2424024463815,188.8725781561876,10.724063655769381,188.8725781561876,0.0,1.6853155142540879,0.6237590032731894,0.8605202151317732,156.748530006539,197.61516612647208,150.62284629364024,8.55226845228113,109.77739122944163,76.4325720870188,2.113290871978634,7.823561128278281,13.0948972943111,0.597451125613419,11.147016705344642,17.19368983766605,0.6483202157645639,M2,,,,,,,,,,,,,,,,,,
HC,v3,4,-12520.54852722165,0.004383118722488114,0.04779070357766081,0.050223203372729966,0.22760880527708022,0.0,23.23943205327064,1.3195200229495943,23.23943205327064,0.0,13.696973551425186,0.4038270568892952,0.6162849773426065,202.14183290856116,216.97396123870905,197.8777024997933,11.23536883109815,197.8777024997933,0.0,1.6086192742414887,0.8783668984179273,1.2619437877734119,nan,196.73479614466743,193.4000000000001,10.981127759640595,193.4000000000001,0.0,1.645862906844832,8.449908175824792,18.37945107860913,0.4597475811265763,12.27092132632135,25.126708434106337,0.4883616713466982,M3,0.3903555181910137,0.5975043777343101,101.48142031741642,200.05003725690744,199.27308350922544,11.314597668419509,199.27308350922544,0.0,1.597355149919454,0.48801138022691354,0.6644394100391017,-168.75561095854187,196.1521044096124,144.45884105973786,8.202280194863471,144.45884105973786,0.0,2.2034642106270286
