session,date,sid,twix,tag,protocol,ncha,nlin,nrep,n_cal,nfid_twix,size_mb,primary,cls,n_rep,dur_s,dt_s,kmax,snr,n_peaks,period_s,period_cv,r2,T1eff_s,fit_resid,n_fit,jumps_up,jumps_dn,t_max_s,read_s
2023-01-31_000LL,2023-01-31,000LL,meas_MID00210_FID01574_fa_spiral_dyn_fancy_v2_20230131.dat,2023-01-31_000LL__MID00210,fa_spiral_dyn_fancy_v2_20230131,1,20,1376,25,27523,116.6,True,FREE_BREATHING,1351,200.6,0.1475,0.003397239837795496,279.5,34,5.95,0.07,0.1277,16.047,0.6287,90,12,0,187.26,0.6
2023-03-08_017AK,2023-03-08,017AK,meas_MID00216_FID02374_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-08_017AK__MID00216,fa_spiral_dyn_fancy_v2_20230131,8,20,208,0,4163,132.6,False,HOLD_BAD,208,30.8,0.15,0.0012768523301929235,200.9,1,nan,nan,0.9732,4.586,0.1334,85,5,1,0.0,0.0
2023-03-08_017AK,2023-03-08,017AK,meas_MID00220_FID02378_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-08_017AK__MID00220,fa_spiral_dyn_fancy_v2_20230131,8,20,1496,1,29934,951.9,True,FREE_BREATHING,1495,222.3,0.15,0.0002596515987534076,23.3,38,4.91,0.08,0.2153,109.11,0.5801,770,134,85,104.62,0.0
2023-03-09_023DB,2023-03-09,023DB,meas_MID00243_FID02401_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-09_023DB__MID00243,fa_spiral_dyn_fancy_v2_20230131,8,20,140,0,2809,89.7,False,HOLD_BAD,140,20.7,0.15,0.012054499238729477,56.2,1,nan,nan,0.9284,5.88,0.2052,101,4,0,0.15,0.0
2023-03-09_023DB,2023-03-09,023DB,meas_MID00246_FID02404_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-09_023DB__MID00246,fa_spiral_dyn_fancy_v2_20230131,8,20,1492,1,29843,948.9,True,FREE_BREATHING,1491,221.7,0.15,0.0017093855421990156,27.1,35,5.13,0.15,0.2254,127.336,0.5783,924,155,74,76.5,0.0
2023-03-10_004LR,2023-03-10,004LR,meas_MID00123_FID02515_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-10_004LR__MID00123,fa_spiral_dyn_fancy_v2_20230131,8,20,145,0,2915,93.1,False,HOLD_BAD,145,21.4,0.15,0.012640023604035378,84.1,1,nan,nan,0.9736,4.209,0.1318,78,1,1,0.0,0.0
2023-03-10_004LR,2023-03-10,004LR,meas_MID00124_FID02516_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-10_004LR__MID00124,fa_spiral_dyn_fancy_v2_20230131,8,20,1976,1,39526,1256.5,True,FREE_BREATHING,1975,293.8,0.15,0.0019312286749482155,24.3,41,6.62,0.1,0.4491,24.555,0.5941,300,37,26,243.47,0.0
2023-03-24_029CK,2023-03-24,029CK,meas_MID00347_FID02940_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-24_029CK__MID00347,fa_spiral_dyn_fancy_v2_20230131,8,20,124,0,2499,79.9,False,HOLD_BAD,124,18.3,0.15,0.004308928269892931,64.0,1,nan,nan,0.9767,4.327,0.127,82,1,0,0.15,0.0
2023-03-24_029CK,2023-03-24,029CK,meas_MID00349_FID02942_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-24_029CK__MID00349,fa_spiral_dyn_fancy_v2_20230131,8,20,2303,1,46077,1464.2,True,FREE_BREATHING,2302,342.4,0.15,0.0013019017642363906,35.2,62,5.06,0.05,0.1791,289.607,0.6107,1923,311,133,54.17,0.0
2023-03-27_02BB,2023-03-27,02BB,meas_MID00428_FID03021_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-27_02BB__MID00428,fa_spiral_dyn_fancy_v2_20230131,8,20,176,1,3538,113.5,False,FREE_BREATHING,175,25.9,0.15,8.300025365315378e-05,17.4,10,2.53,0.27,0.0281,nan,0.0893,162,10,1,1.79,0.0
2023-03-27_02BB,2023-03-27,02BB,meas_MID00429_FID03022_fa_spiral_dyn_fancy_v2_20230131.dat,2023-03-27_02BB__MID00429,fa_spiral_dyn_fancy_v2_20230131,8,20,1769,1,35395,1125.3,True,AMBIGUOUS,1768,263.0,0.15,0.000682624289765954,42.1,41,4.76,0.84,0.1714,171.098,0.4091,741,113,28,152.69,0.0
