session,tag,MID,seq,primary,carrier,carrier_ppm_above_gas,snr_diss,gas_hz_from_carrier,gas_ppm_from_carrier,TE_us,t_k0_us,model_used,dphi_k0_deg,dphi_k0_m3_lumped_deg,dphi_k0_m2_deg,dphi_rep_sd_deg,dphi_rep_sd_m3_deg,dphi_rep_sd_m2_deg,n_reps,ratio_lumped,ratio_scalar,F_lump,ratio_m2,ratio_scalar_te,df_hz,rbc_ppm,rbc_fwhm_ppm,mem1_ppm,mem2_ppm,mem1_fwhm_ppm,mem2_fwhm_ppm,a1_over_a2,mem12_dphi_deg,mem_m2_ppm,mem_m2_fwhm_ppm,bic_m2,bic_m3,valid,reason,gas_ppm_stage1,stab_dphi_deg,stab_F_ratio,stab_alt_model,stable
2023-01-31_000LL,2023-01-31_000LL__MID00210,00210,v2,True,ON_RBC,218.1,55.4,-3856.2,-218.9,600.0,610.0,M3,34.5,34.5,34.4,3.0,3.0,1.3,6,0.7302,0.4027,1.813,0.6116,0.4011,346.7,218.1,10.67,202.03,196.9,14.91,8.87,0.421,-132.3,197.68,8.41,-27989.2,-28042.6,yes,,-218.1,1.4,0.992,M3,yes
2023-04-18_021JM,2023-04-18_021JM__MID00272,00272,v2,True,ON_RBC,217.9,41.0,-3823.5,-217.1,600.0,610.0,M3,25.4,25.4,37.4,6.8,6.8,2.2,2,0.5632,0.2819,1.998,0.3214,0.308,344.5,218.27,13.85,204.72,196.2,15.49,9.18,0.418,-143.8,197.1,9.07,-26144.8,-26175.1,yes,unstable_drop3,-217.9,20.8,0.896,M3,no
2023-04-26_023DB,2023-04-26_023DB__MID00305,00305,v2,True,ON_RBC,217.9,44.6,-3823.5,-217.1,600.0,610.0,M2,29.0,11.8,29.0,2.6,15.2,2.6,4,0.239,0.239,1.0,0.239,0.2471,355.8,217.82,10.29,204.11,196.75,13.9,9.66,0.362,-142.5,197.62,9.28,-27865.1,-27880.0,yes,unstable_drop3,-217.9,10.9,1.866,M3,no
2023-05-02_011BA,2023-05-02_011BA__MID00045,00045,v2,True,ON_RBC,218.1,53.0,-3856.2,-219.0,600.0,610.0,M3,40.4,40.4,39.5,4.9,4.9,3.7,4,0.4033,0.2487,1.622,0.3055,0.2643,342.6,217.8,11.39,200.65,196.03,10.57,8.5,1.007,-104.2,198.08,8.48,-27710.1,-27798.4,yes,,-218.1,2.6,0.991,M3,yes
2023-05-02_012SR,2023-05-02_012SR__MID00127,00127,v2,True,ON_RBC,218.1,62.9,-3823.5,-217.1,600.0,610.0,M3,33.9,33.9,39.8,7.8,7.8,5.7,10,0.297,0.1681,1.767,0.2216,0.1778,355.8,217.96,11.74,200.84,196.31,12.95,8.59,0.47,-124.5,197.21,8.13,-28818.1,-28974.1,yes,,-218.1,3.2,0.913,M3,yes
2023-05-15_035EK,2023-05-15_035EK__MID00133,00133,v2,True,ON_RBC,218.3,56.3,-3856.2,-219.0,600.0,610.0,M3,33.8,33.8,25.5,7.0,7.0,2.4,12,0.4258,0.3107,1.371,0.3533,0.338,332.9,217.07,11.96,201.31,196.41,11.63,8.11,0.561,-91.2,197.64,8.63,-28766.0,-29292.1,yes,,-218.3,2.3,0.996,M3,yes
2023-05-18_000SV,2023-05-18_000SV__MID00119,00119,v2,True,ON_RBC,218.0,59.2,-3823.5,-217.1,600.0,610.0,M3,32.5,32.5,31.6,5.9,5.9,3.8,9,0.374,0.2325,1.609,0.2737,0.2512,335.4,217.28,12.16,201.48,196.38,11.9,8.57,0.57,-109.4,197.67,8.57,-29392.2,-29738.7,yes,,-218.0,2.9,0.981,M3,yes
2023-09-25_032WS,2023-09-25_032WS__MID00095,00095,v2,True,ON_RBC,218.1,70.2,-3823.5,-217.1,600.0,610.0,M3,41.4,41.4,53.1,6.0,6.0,5.1,12,0.2528,0.1673,1.511,0.1647,0.1845,369.5,219.03,11.79,200.95,196.01,10.52,7.61,0.704,-99.5,197.54,8.08,-28133.4,-28945.5,yes,,-218.1,2.8,0.997,M3,yes
2023-10-27_000LL,2023-10-27_000LL__MID02670,02670,v2,True,BETWEEN,214.4,52.7,-3758.2,-213.4,600.0,610.0,M3,33.3,33.3,34.2,2.0,2.0,2.2,9,0.7414,0.4816,1.539,0.676,0.4971,350.0,218.13,10.26,201.4,196.94,11.32,8.41,0.421,-113.0,197.85,8.14,-32690.5,-32807.3,yes,,-214.4,1.1,0.986,M3,yes
2023-11-02_025VP,2023-11-02_025VP__MID02741,02741,v2,False,ON_RBC,217.9,35.5,-3856.2,-219.0,600.0,610.0,M3,39.1,39.1,30.7,nan,nan,nan,1,0.4448,0.4438,1.002,0.4463,0.4991,329.7,216.93,10.69,199.1,196.03,8.0,4.95,2.475,-8.8,197.69,8.47,-26118.0,-26116.0,yes,,-217.9,1.3,1.007,M3,yes
2023-11-02_036RL,2023-11-02_036RL__MID02779,02779,v2,True,ON_RBC,218.0,55.1,-3823.5,-217.1,600.0,610.0,M3,33.6,33.6,33.3,nan,nan,nan,1,0.2983,0.2008,1.485,0.1978,0.2179,330.7,216.83,11.58,201.23,196.09,10.96,7.94,0.616,-99.4,197.47,8.37,-27126.8,-27206.2,yes,,-218.0,1.8,1.004,M3,yes
2023-11-13_037GD,2023-11-13_037GD__MID03140,03140,v2,True,ON_RBC,218.1,58.2,-3823.5,-217.1,600.0,610.0,M3,12.7,12.7,36.3,31.0,31.0,25.4,7,0.3022,0.208,1.453,0.1639,0.2552,381.5,219.56,13.83,200.86,195.53,8.33,7.12,0.803,-94.1,197.55,8.02,-28762.0,-28791.0,no,rep_sd>30;unstable_drop3,-218.1,10.3,0.899,M3,no
