perm,flips,mi,contain,cover,stop
012,--+,-0.17263797529286432,0.9591964846202135,0.38361259368084355,RegularStepGradientDescentOptimizerv4: M
012,---,-0.12553614287515025,0.8530690031840472,0.3412958176036301,RegularStepGradientDescentOptimizerv4: M
012,-++,-0.12488843868656799,0.8892272642737586,0.3556710616852324,RegularStepGradientDescentOptimizerv4: G
012,-+-,-0.10466507324518985,0.8329536473104282,0.3331783608874342,RegularStepGradientDescentOptimizerv4: M
012,+++,-0.09680866861104359,0.8278250360247292,0.33118851468208954,RegularStepGradientDescentOptimizerv4: M
102,+++,-0.0936047279334995,0.8442982965768864,0.33781823591765386,RegularStepGradientDescentOptimizerv4: M
102,-++,-0.08994758013017844,0.8209479091606425,0.3283990106559054,RegularStepGradientDescentOptimizerv4: G
102,++-,-0.08689841658872009,0.7925554161438728,0.31716660777713723,RegularStepGradientDescentOptimizerv4: G
102,-+-,-0.0847241315772192,0.7953208214144515,0.3179848622914846,RegularStepGradientDescentOptimizerv4: M
102,--+,-0.08078920529125541,0.7877921171956749,0.31501868967697544,RegularStepGradientDescentOptimizerv4: G
012,+-+,-0.08031620147133042,0.8103881013246572,0.324242649656891,RegularStepGradientDescentOptimizerv4: M
012,++-,-0.07839769165453937,0.7841022661243463,0.313689026091161,RegularStepGradientDescentOptimizerv4: M
102,+-+,-0.07703543654185231,0.8156671315667131,0.32627898759600543,RegularStepGradientDescentOptimizerv4: G
012,+--,-0.07354038336097288,0.7693880871040462,0.3078310676361743,RegularStepGradientDescentOptimizerv4: G
102,---,-0.06982559470430717,0.7792449321182816,0.3116805831923084,RegularStepGradientDescentOptimizerv4: M
102,+--,-0.06948643127391742,0.7654912541868255,0.30600859167240063,RegularStepGradientDescentOptimizerv4: M
210,+++,-0.034016532223212124,0.5620320855614973,0.22476893608316442,RegularStepGradientDescentOptimizerv4: G
210,++-,-0.03204653515094775,0.5419339841933984,0.21678165622152382,RegularStepGradientDescentOptimizerv4: M
210,-+-,-0.030677502486248835,0.5718866916087654,0.22883231361463932,RegularStepGradientDescentOptimizerv4: G
210,-++,-0.030103147851794448,0.5758519689432331,0.23033864578877875,RegularStepGradientDescentOptimizerv4: M
201,---,-0.029979323374703715,0.6005998326048545,0.24020419169471668,RegularStepGradientDescentOptimizerv4: M
201,-+-,-0.02951590295181786,0.623337673207477,0.24929797482007698,RegularStepGradientDescentOptimizerv4: M
120,++-,-0.02815417905561669,0.41308189554945823,0.1651851300838711,RegularStepGradientDescentOptimizerv4: M
210,+--,-0.028020325480910435,0.4735728895500186,0.18945381511167314,RegularStepGradientDescentOptimizerv4: M
120,+--,-0.027675554506047705,0.410120459513511,0.1639856433526119,RegularStepGradientDescentOptimizerv4: M
120,+-+,-0.027166622185182804,0.4329093910576856,0.17312591821174195,RegularStepGradientDescentOptimizerv4: G
210,+-+,-0.026870632213387553,0.4762735114273093,0.19047663325460734,RegularStepGradientDescentOptimizerv4: G
120,--+,-0.02556485491182711,0.4457988275797897,0.17819351719264315,RegularStepGradientDescentOptimizerv4: M
210,---,-0.025049329234307558,0.5039285880329164,0.20156956093206627,RegularStepGradientDescentOptimizerv4: G
201,+-+,-0.024830263005779778,0.5582324652092094,0.2234206758038421,RegularStepGradientDescentOptimizerv4: M
201,+++,-0.024528288028013837,0.5589151250348611,0.22361594108567498,RegularStepGradientDescentOptimizerv4: M
201,+--,-0.022369775472195347,0.5190044196324727,0.20746471277406878,RegularStepGradientDescentOptimizerv4: M
210,--+,-0.022272964853110925,0.5391641874302715,0.215693749651312,RegularStepGradientDescentOptimizerv4: G
120,---,-0.022050967604053933,0.43532800594685,0.17425101816896957,RegularStepGradientDescentOptimizerv4: M
021,--+,-0.021580442385787272,0.4907480589520666,0.19629739832257825,RegularStepGradientDescentOptimizerv4: G
021,---,-0.021486696168241833,0.4581570505369845,0.18326111617354435,RegularStepGradientDescentOptimizerv4: G
120,-+-,-0.02145633972749519,0.4089577910003719,0.16360441113570007,RegularStepGradientDescentOptimizerv4: G
120,-++,-0.020927109670005932,0.4089841661047688,0.16355791940193035,RegularStepGradientDescentOptimizerv4: M
021,+++,-0.020000436902557664,0.4418858629984199,0.17682666021981291,RegularStepGradientDescentOptimizerv4: M
021,+--,-0.019984686000641478,0.4401840490797546,0.17612928421326687,RegularStepGradientDescentOptimizerv4: G
201,++-,-0.019640288990251446,0.5266189724054632,0.21081211760548973,RegularStepGradientDescentOptimizerv4: G
201,--+,-0.019495169767820963,0.5731282241948227,0.22933442433935247,RegularStepGradientDescentOptimizerv4: M
021,+-+,-0.019178726325928798,0.4550694993259263,0.18204303274877726,RegularStepGradientDescentOptimizerv4: G
021,-+-,-0.017123842190049553,0.4633998930705037,0.1853625425399364,RegularStepGradientDescentOptimizerv4: G
201,-++,-0.01695107747130371,0.5208962856213101,0.20837595075595558,RegularStepGradientDescentOptimizerv4: G
120,+++,-0.01684794419645668,0.3763683268645269,0.1505774273334201,RegularStepGradientDescentOptimizerv4: G
021,-++,-0.015924900959938735,0.4420198921732664,0.1768638536068287,RegularStepGradientDescentOptimizerv4: G
021,++-,-0.014550475120839275,0.43162959347325847,0.17267029922079855,RegularStepGradientDescentOptimizerv4: G
