session,seq,xecs_valid,snr_diss,asap_status,asap_gate,cond,df_steve,df_xecs,dphi_k0_steve,dphi_k0_m2,dphi_k0_m3lumped,dphi_steve1st_minus_m2at120,m3_mem1_minus_mem2_deg,m3_a1_over_a2,ratio_steve,ratio_m2,ratio_m3_scalar,ratio_m3_lumped,bic_m2,bic_m3
2023-01-31_000LL,v2,True,42.6,resplit,pass,marginal,359.7,358.2,35.22,35.17,37.57,0.1122,-100.6,0.485,0.5148,0.6118,0.4595,0.6619,-2.816e+04,-2.823e+04
2023-04-18_021JM,v2,True,46.8,resplit,pass,good,359.7,370.1,47,36.88,35.92,9.711,-121.3,0.422,0.2665,0.3151,0.2603,0.4279,-2.654e+04,-2.659e+04
2023-04-26_023DB,v2,True,50.7,resplit,pass,marginal,356.2,353.1,32.63,29.4,21.95,3.343,-129.2,0.3902,0.157,0.2443,0.1897,0.3233,-2.812e+04,-2.814e+04
2023-05-02_011BA,v2,True,49.3,resplit,pass,good,339.6,354.1,46.52,33.2,44.21,12.75,-99.65,1.273,0.2548,0.369,0.2632,0.4024,-2.796e+04,-2.802e+04
2023-05-02_012SR,v2,True,56.9,resplit,pass,good,352.3,364.3,46.69,36.4,38.95,9.812,-115.5,0.5374,0.1758,0.2396,0.1752,0.2951,-2.891e+04,-2.905e+04
2023-05-15_035EK,v2,True,49.1,resplit,pass,marginal,351.2,349.5,29.17,27.26,37.93,1.983,-73.66,0.7824,0.2658,0.3512,0.3155,0.3913,-2.881e+04,-2.929e+04
2023-05-18_000SV,v2,True,53.1,resplit,pass,marginal,342.1,349.1,38.13,29.38,37.23,8.477,-91.47,0.6735,0.2061,0.302,0.2504,0.3503,-2.952e+04,-2.984e+04
2023-09-25_032WS,v2,True,60.4,resplit,pass,good,350.5,383.7,64.14,37.42,47.31,25.4,-93,0.8326,0.14,0.1962,0.177,0.2548,-2.839e+04,-2.899e+04
2023-10-27_000LL,v2,True,43.6,resplit,pass,marginal,356.1,354.9,35.39,35.25,36.46,0.1892,-67.41,0.4901,0.5773,0.676,0.5931,0.6933,-3.268e+04,-3.277e+04
2023-11-02_036RL,v2,True,57.1,resplit,pass,marginal,352.2,353.2,34.07,27.02,40.31,7.01,-90.36,0.7531,0.133,0.2172,0.1956,0.2736,-2.783e+04,-2.796e+04
2023-11-13_037GD,v2,True,41.2,resplit,pass,good,322.7,386.6,52.43,10.26,30.58,39.64,-98.66,1.08,0.2482,0.3382,0.258,0.3924,-2.895e+04,-2.895e+04
2023-11-16_038RL,v2,True,44.9,gated,fRBC=756Hz(exp0),marginal,359.2,356.5,26.87,25.08,31.37,1.904,-129,0.5786,0.2735,0.3185,0.2075,0.4183,-2.95e+04,-2.954e+04
2023-11-17_005DS,v2,True,43.6,resplit,pass,marginal,356.9,349.7,21.44,20.46,38.7,1.261,-90.5,0.8889,0.2315,0.3722,0.2947,0.416,-3.194e+04,-3.218e+04
2023-12-11_040RP,v2,True,55.1,resplit,pass,marginal,360.4,269.7,38.49,101.7,35.61,-59.6,-108.6,0.6743,0.1278,0.09962,0.1475,0.2425,-2.993e+04,-3.026e+04
2023-12-19_041WF,v2,True,58.7,resplit,pass,good,331.9,372.3,82.42,50.62,55.53,30.19,-120.4,0.6758,0.1518,0.1943,0.1451,0.2753,-3.192e+04,-3.298e+04
2024-01-16_004DS,v2,True,53.8,resplit,pass,good,293.3,331.2,90.96,56.6,56.48,32.86,-144.4,0.4506,0.08225,0.1237,0.2037,0.4259,-3.14e+04,-3.163e+04
2024-02-19_037GD,v3,True,62.8,resplit,pass,good,328.9,363.6,75.51,47.83,58.75,26.3,-95.36,0.9906,0.1493,0.2094,0.1819,0.269,-3.183e+04,-3.254e+04
2024-02-21_043AS,v3,True,57.2,resplit,pass,good,346.7,367.6,64.19,45.95,56.91,17.42,-95.67,0.8377,0.1841,0.2552,0.2228,0.329,-3.165e+04,-3.255e+04
2024-02-26_029CK,v3,True,58.5,resplit,pass,good,357.9,368.9,66.96,57.38,65.01,9.146,-92.2,0.9806,0.3206,0.4074,0.3227,0.4637,-3.084e+04,-3.146e+04
2024-02-27_009JT,v3,True,50.6,resplit,pass,good,348.1,361,58.4,42.58,56.97,15.3,-108.7,0.7352,0.2165,0.3498,0.3003,0.5002,-3.172e+04,-3.187e+04
2024-03-06_030DN,v3,True,91.4,resplit,pass,good,337.8,368.8,74.06,51.4,81.9,21.44,-143.1,0.6208,0.2045,0.2935,0.1492,0.3851,-3.119e+04,-3.147e+04
2024-03-11_039CP,v3,True,56.3,resplit,pass,good,346,361.7,63.28,49.57,50.32,13.09,-109.9,0.5262,0.2376,0.2995,0.2356,0.3733,-3.189e+04,-3.263e+04
2024-03-12_006KL,v3,True,52,resplit,pass,good,313.9,344.2,82.18,55.51,55.37,25.47,-118.2,0.5207,0.1662,0.2168,0.2231,0.3816,-3.135e+04,-3.176e+04
2024-03-12_044DY,v3,True,65,resplit,pass,good,327.1,350.3,67.86,48.77,54.87,18.17,-107,0.622,0.1531,0.2026,0.1713,0.2734,-3.086e+04,-3.16e+04
2024-03-14_038RL,v3,True,68.1,resplit,pass,good,350.1,357.7,59.33,52.31,61.24,6.721,-96.51,1.095,0.3382,0.4276,0.3225,0.4821,-3.159e+04,-3.213e+04
2024-03-21_032WS,v3,True,60.5,resplit,pass,good,347.7,381.6,78.16,52.45,63.92,24.37,-98.14,1.003,0.1776,0.2322,0.2026,0.3079,-3.147e+04,-3.228e+04
2024-03-21_036RL,v3,True,67.2,resplit,pass,good,327.4,349.2,61.59,41.37,58.52,19.36,-90.97,1.266,0.1555,0.2367,0.2048,0.2889,-3.158e+04,-3.224e+04
2024-03-28_010AJ,v3,True,51.6,resplit,pass,good,337.3,345.5,47.11,35.01,63.16,11.78,-108.7,0.9329,0.2076,0.3569,0.2791,0.4757,-3.147e+04,-3.193e+04
2024-04-01_008CR,v3,True,42.7,resplit,pass,marginal,335.5,343.7,30.11,16.93,54.95,12.86,-110.7,0.9097,0.2183,0.4114,0.3324,0.5787,-3.203e+04,-3.224e+04
