key,fit,status,gate_loose,gate_strict,gate_xecs,xecs_valid,xecs_reason,nch,DPoff,TE_ms,fRBC,fTP,df,df_xecs,target,ratio_steve,ratio_scalar,F_lump,ratio_m2,TEeff_us,dphi_old,dphi_new,dphi_steve_k0,steve_minus_xecs,dphi_k0_m2,dphi_rep_sd,stab_dphi,stab_F,xecs_stable,dphi_line,line_minus_new,fit_consistent,killpts_corr_deg,model_used,snr_diss,carrier,carrier_ppm,gain_old,gain_new,cond_new,nbins,bins_split_old,bins_resplit,insp_bin,ph_old_insp,ph_new_insp,R_new_insp,R_new_med,ratio_lung_new_insp,corr_old_insp,corr_new_insp,corr_old_med,corr_new_med,negTP_old_insp,negTP_new_insp,negTP_old_med,negTP_new_med,negRBC_old_insp,negRBC_new_insp,lungRBC_old_insp,lungTP_old_insp,lungRBC_new_insp,lungTP_new_insp,mat
2023-01-31_000LL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-3.032,-362.7,359.7,346.7,0.7302,0.5148,0.4027,1.813,0.6116,-317,-41.04,34.5,35.22,0.7248,34.4,3,1.4,0.992,yes,39.24,4.014,True,-14.24,M3,55.4,ON_RBC,218.1,1.523,1.766,marginal,16,16,16,7,5.08,0.293,0.7297,0.731,0.7297,-0.7333,-0.851,-0.7461,-0.8378,57.23,7.046,58.16,7.887,0.6681,17.85,728.6,-48.97,305.5,418.7,/Volumes/HoomHamExt/AIkill_Dynamic/2023-01-31_000LL/d/recon_resplit_xecs.mat
2023-04-07_030DN,xecs,no_xecs_row,df=4403Hz;fRBC=1652Hz(exp0);|sin dphi|=0.25,df=4403Hz;fRBC=1652Hz(exp0);|sin dphi|=0.25,,,session has no usable cal block in the XeCS table,1,218,0.62,1652,-2752,4403,,,0.5279,,,,-854,86.34,,14.59,,,,,,,-10.85,-25.45,False,-174.4,,,,,1.002,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-18_021JM,xecs,gated,pass,pass,unstable: dphi moves 20.8 deg when one more sample is dropped,yes,unstable_drop3,1,218,0.62,-3.775,-363.5,359.7,344.5,0.5632,0.2665,0.2819,1.998,0.3214,-230.2,-29.81,25.4,47,21.6,37.4,6.8,20.8,0.896,no,50.49,3.483,True,-14.25,M3,41,ON_RBC,217.9,2.012,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-26_023DB,xecs,gated,pass,pass,unstable: dphi moves 10.9 deg when one more sample is dropped,yes,unstable_drop3,1,218,0.62,-4.415,-360.6,356.2,355.8,0.239,0.157,0.239,1,0.239,-369.9,-47.43,29,32.63,3.629,29,2.6,10.9,1.866,no,32.07,-0.5615,True,-14.1,M2,44.6,ON_RBC,217.9,1.358,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02_011BA,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-14.08,-353.6,339.6,342.6,0.4033,0.2548,0.2487,1.622,0.3055,-172,-21.02,40.4,46.52,6.116,39.5,4.9,2.6,0.991,yes,54.77,8.252,True,-13.45,M3,53,ON_RBC,218.1,2.788,1.543,marginal,16,16,16,8,5.3,0.292,0.4029,0.4033,0.4029,-0.9171,-0.7165,-0.9266,-0.7477,61.02,5.092,67.77,5.769,5.804,25.54,763.7,-182.6,180.4,447.8,/Volumes/HoomHamExt/AIkill_Dynamic/2023-05-02_011BA/d/recon_resplit_xecs.mat
2023-05-02_012SR,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-16.97,-369.3,352.3,355.8,0.297,0.1758,0.1681,1.767,0.2216,-199.1,-25.25,33.9,46.69,12.79,39.8,7.8,3.2,0.913,yes,53.39,6.695,True,-13.95,M3,62.9,ON_RBC,218.1,2.344,1.793,marginal,16,16,16,7,5.33,0.235,0.2977,0.2976,0.2977,-0.8939,-0.7983,-0.9173,-0.8555,61.5,12.62,65.45,11.08,8.114,34.31,657.6,-151.9,124.1,416.8,/Volumes/HoomHamExt/AIkill_Dynamic/2023-05-02_012SR/d/recon_resplit_xecs.mat
2023-05-04_034LR,xecs,no_xecs_row,df=991Hz;fRBC=-741Hz(exp0),df=991Hz;fRBC=-741Hz(exp0),,,session has no usable cal block in the XeCS table,1,218,0.62,-741.1,-1732,990.9,,,0.6606,,,,904,-37.51,,117.2,,,,,,,-176.3,66.42,False,-39.24,,,,,1.642,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15_000SK,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,-16.51,-357.1,340.6,,,0.4725,,,,-394.3,-48.36,,37.1,,,,,,,27.67,-9.432,True,-13.49,,,,,1.338,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15_035EK,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-13.54,-364.8,351.2,332.9,0.4258,0.2658,0.3107,1.371,0.3533,-413.4,-52.27,33.8,29.17,-4.635,25.5,7,2.3,0.996,yes,26.12,-3.047,True,-13.91,M3,56.3,ON_RBC,218.3,1.264,1.798,marginal,16,16,16,5,5.27,0.176,0.4246,0.426,0.4246,-0.6507,-0.8376,-0.6185,-0.8354,49.22,14.81,54,12.92,2.884,28.6,560.9,-26.4,168.5,397,/Volumes/HoomHamExt/AIkill_Dynamic/2023-05-15_035EK/d/recon_resplit_xecs.mat
2023-05-18_000SV,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-19.12,-361.3,342.1,335.4,0.374,0.2061,0.2325,1.609,0.2737,-314.6,-38.75,32.5,38.13,5.626,31.6,5.9,2.9,0.981,yes,37.62,-0.5089,True,-13.55,M3,59.2,ON_RBC,218,1.598,1.861,marginal,16,16,16,7,5.41,0.237,0.3755,0.3742,0.3755,-0.8557,-0.8865,-0.8252,-0.8525,60.43,14.47,61.63,12.12,3.034,29.45,682.1,-116.5,167.9,447.2,/Volumes/HoomHamExt/AIkill_Dynamic/2023-05-18_000SV/d/recon_resplit_xecs.mat
2023-08-24_030DN,xecs,no_xecs_row,df=1460Hz;fRBC=1160Hz(exp0),df=1460Hz;fRBC=1160Hz(exp0),,,session has no usable cal block in the XeCS table,1,218,0.62,1160,-299.6,1460,,,1.637,,,,-371.4,164.8,,63.05,,,,,,,130.6,67.58,False,-57.81,,,,,3.819,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25_032WS,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-10.63,-361.1,350.5,369.5,0.2528,0.14,0.1673,1.511,0.1647,-27.89,-3.52,41.4,64.14,22.74,53.1,6,2.8,0.997,yes,74.72,10.57,True,-13.88,M3,70.2,ON_RBC,218.1,16.29,1.512,marginal,16,16,16,8,5.23,0.304,0.2538,0.2532,0.2538,-0.9974,-0.6705,-0.9983,-0.767,70.76,2.298,72.07,3.24,22.27,31.08,3388,-2482,194.9,768.1,/Volumes/HoomHamExt/AIkill_Dynamic/2023-09-25_032WS/d/recon_resplit_xecs.mat
2023-10-10_002BB,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,-51.81,-358.7,306.9,,,0.1661,,,,-261.6,-28.9,,52.16,,,,,,,39.61,-12.55,True,-12.15,,,,,2.069,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-20_001JM,xecs,no_xecs_row,df=3624Hz;fRBC=-871Hz(exp0),df=3624Hz;fRBC=-871Hz(exp0),,,session has no usable cal block in the XeCS table,1,218,0.62,-871,-4495,3624,,,0.7039,,,,-91.64,-119.6,,124.7,,,,,,,-30.7,-155.4,False,-143.5,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-25_002JM,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,8.242,-361.2,369.4,,,0.3366,,,,-356.6,-47.42,,22.1,,,,,,,35.03,12.93,True,-14.63,,,,,1.358,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-27_000LL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,67.75,-288.3,356.1,350,0.7414,0.5773,0.4816,1.539,0.676,-326.6,-41.86,33.3,35.39,2.087,34.2,2,1.1,0.986,yes,37.61,2.226,True,-14.1,M3,52.7,BETWEEN,214.4,1.498,1.821,marginal,16,16,16,7,4.91,0.397,0.7433,0.7416,0.7433,-0.7503,-0.8517,-0.754,-0.8533,49.79,12.7,52.28,10.91,2.396,19.57,1263,-21.27,554.4,745.9,/Volumes/HoomHamExt/AIkill_Dynamic/2023-10-27_000LL/d/recon_resplit_xecs.mat
2023-10-31_003KH,xecs,no_xecs_row,df=836Hz;fRBC=429Hz(exp0),df=836Hz;fRBC=429Hz(exp0),,,session has no usable cal block in the XeCS table,1,218,0.62,428.7,-407.1,835.9,,,1.581,,,,-636.7,168.4,,-135,,,,,,,-5.035,129.9,False,-33.1,,,,,4.974,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-02_025VP_merged_REJECTED,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,-12.5,-365.3,352.8,,,0.3037,,,,-301,-38.23,,28.02,,,,,,,40.52,12.5,True,-13.97,,,,,1.616,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-02_036RL,xecs,resplit,pass,pass,pass,yes,,1,218,0.62,-13.34,-365.6,352.2,330.7,0.2983,0.133,0.2008,1.485,0.1978,-329.9,-41.84,33.6,34.07,0.4673,33.3,,1.8,1.004,yes,36.78,2.716,True,-13.95,M3,55.1,ON_RBC,218,1.499,1.807,marginal,16,16,16,7,5.36,0.243,0.2985,0.2985,0.2985,-0.7808,-0.7996,-0.7674,-0.8368,62.26,11.98,64.69,12.74,3.613,30.1,808.6,-146.8,167.3,560.6,/Volumes/HoomHamExt/AIkill_Dynamic/2023-11-02_036RL/d/recon_resplit_xecs.mat
2023-11-06_002ZS,xecs,no_xecs_row,pass,pass,,,session has no usable cal block in the XeCS table,1,218,0.62,-0.03435,-343.7,343.7,,,0.2139,,,,-34.62,-4.284,,59.19,,,,,,,72.43,13.24,True,-13.61,,,,,13.39,,,,,,,,,,,,,,,,,,,,,,,,,,
