session,seq,snr,valid,stable,model,sf_dphi,sf_ratio_l,sf_ratio_s,sf_stab_drop,nrep,tp_dphi,tp_ratio_l,tp_ratio_s,tp_F,tp_dr,tp_dm,tp_res,tp_stab_drop,tp_stab_oddeven,sf_stab_oddeven,tp_stab_halves,sf_stab_halves,tp_minus_sf
2023-01-31_000LL,v2,55.4,yes,yes,M3,34.5,0.7302,0.4027,1.4,7,37.51,0.7505,0.4748,1.581,1.25,0.75,0.1032,0.08654,0.1414,3.3,3.089,1.8,3.008
2023-04-18_021JM,v2,41,yes,no,M3,25.4,0.5632,0.2819,20.8,3,36.1,0.3971,0.2512,1.581,0,-1.25,0.1297,2.538,,,,,10.7
2023-04-26_023DB,v2,44.6,yes,no,M2,29,0.239,0.239,10.9,5,22.99,0.3203,0.2026,1.581,-0.25,-1,0.1123,2.709,0.8362,17.6,6.36,13.5,-6.006
2023-05-02_011BA,v2,53,yes,yes,M3,40.4,0.4033,0.2487,2.6,5,38.76,0.4057,0.2567,1.581,1,1,0.1027,0.2321,5.154,0.1,2.483,2.9,-1.64
2023-05-02_012SR,v2,62.9,yes,yes,M3,33.9,0.297,0.1681,3.2,11,42.62,0.3002,0.19,1.581,-1.25,-1.5,0.08206,0.3505,3.312,2,1.072,6.6,8.723
2023-05-15_035EK,v2,56.3,yes,yes,M3,33.8,0.4258,0.3107,2.3,13,29.32,0.4446,0.2813,1.581,0.5,0.75,0.04796,0.07641,0.4281,1.7,1.967,1.3,-4.485
2023-05-18_000SV,v2,59.2,yes,yes,M3,32.5,0.374,0.2325,2.9,10,33.1,0.3606,0.2281,1.581,-1.25,-1,0.04912,0.2903,1.245,0.9,3.16,1.2,0.5976
2023-09-25_032WS,v2,70.2,yes,yes,M3,41.4,0.2528,0.1673,2.8,13,54.62,0.2475,0.1566,1.581,-0.75,-1,0.09089,2.533,1.133,3,4.003,1.1,13.22
2023-10-27_000LL,v2,52.7,yes,yes,M3,33.3,0.7414,0.4816,1.1,10,38.62,0.8289,0.5244,1.581,-0.25,-0.5,0.05667,0.109,3.349,0.4,1.145,1.5,5.323
2023-11-02_025VP,v2,35.5,yes,yes,M3,39.1,0.4448,0.4438,1.3,1,33.24,0.5463,0.3456,1.581,0.5,0.75,0.2412,0.008646,,,,,-5.864
2023-11-02_036RL,v2,55.1,yes,yes,M3,33.6,0.2983,0.2008,1.8,2,35.08,0.2612,0.1653,1.581,-1.5,-1.25,0.09404,0.4697,,,,,1.483
2023-11-13_037GD,v2,58.2,no,no,M3,12.7,0.3022,0.208,10.3,8,47.96,0.2466,0.156,1.581,-1.5,-1,0.3686,4.449,1.273,1.3,4.477,12.3,35.26
2023-11-16_038RL,v2,75.7,yes,no,M3,28,0.3633,0.2319,6.3,4,42.54,0.3869,0.2448,1.581,-1.5,-0.75,0.2835,2.835,1.132,3.1,1.223,4,14.54
2023-11-17_005DS,v2,51,yes,yes,M3,33.4,0.4339,0.2923,4.6,13,8.985,0.4051,0.2563,1.581,1.25,0,0.1284,0.1104,4.172,3.3,1.486,8.4,-24.42
2023-12-11_040RP,v2,84.8,yes,no,M3,33.2,0.2089,0.14,11.1,13,53.04,0.2163,0.1368,1.581,-1.5,-1.25,0.3279,5.612,0.1103,6.4,0.7103,2.4,19.84
2023-12-19_041WF,v2,69.6,yes,yes,M3,56.4,0.2577,0.1527,1.3,12,53.53,0.2506,0.1586,1.581,0.75,-0.25,0.02206,0.08592,0.01725,1.2,0.5344,4.5,-2.872
2024-01-16_004DS,v2,57.8,yes,yes,M3,59.7,0.3075,0.169,1.1,8,17.02,0.2154,0.1363,1.581,1,-0.75,0.1192,2.559,2.419,6.6,2.451,13.8,-42.68
2024-02-19_037GD,v3,66.8,yes,yes,M3,51.5,0.2657,0.1708,1.8,13,56.76,0.2594,0.1745,1.487,-1,-1,0.044,2.055,0.04015,2.1,0.9973,1.3,5.26
2024-02-21_043AS,v3,62.7,yes,yes,M3,50.9,0.3199,0.2166,1.9,9,49.3,0.3057,0.2057,1.487,-0.25,-1.25,0.09111,2.232,0.4392,2.7,6.562,0.2,-1.602
