session,seq,snr,valid,stable,model,sf_dphi,sf_ratio_l,sf_ratio_s,sf_stab_drop,nrep,tp_dphi,tp_ratio_l,tp_ratio_s,tp_F,tp_dr,tp_dm,tp_res,tp_wr,tp_wm,tp_a21,tp_stab_drop,tp_stab_oddeven,tp_stab_halves,tp_minus_sf
2023-01-31_000LL,v2,55.4,yes,yes,M3,34.5,0.7302,0.4027,1.4,7,36.62,0.6672,0.4374,1.525,1.25,1,0.1013,0.85,1,2,2.2,2.292,1.566,2.124
2023-04-18_021JM,v2,41,yes,no,M3,25.4,0.5632,0.2819,20.8,3,33.26,0.3867,0.2423,1.596,0.25,-1.5,0.1294,1,1,1.6,2.365,,,7.864
2023-04-26_023DB,v2,44.6,yes,no,M2,29,0.239,0.239,10.9,5,40.37,0.3824,0.2313,1.653,-1.5,-2,0.1105,1.2,1,0.8,4.222,9.687,22.96,11.37
2023-05-02_011BA,v2,53,yes,yes,M3,40.4,0.4033,0.2487,2.6,5,44.64,0.4391,0.2647,1.659,0.75,0.75,0.1017,1,1,1.2,0.08754,0.1953,4.43,4.241
2023-05-02_012SR,v2,62.9,yes,yes,M3,33.9,0.297,0.1681,3.2,11,42.7,0.2943,0.193,1.525,-1.25,-1.25,0.08126,1,1,2,0.3685,1.762,0.5283,8.797
2023-05-15_035EK,v2,56.3,yes,yes,M3,33.8,0.4258,0.3107,2.3,13,24.75,0.4017,0.2772,1.449,0.75,1,0.04759,1,1,2.5,0.1972,1.112,2.049,-9.049
2023-05-18_000SV,v2,59.2,yes,yes,M3,32.5,0.374,0.2325,2.9,10,35.61,0.3692,0.2313,1.596,-1.5,-1,0.04948,1,1,1.6,1.959,1.356,1.839,3.114
2023-09-25_032WS,v2,70.2,yes,yes,M3,41.4,0.2528,0.1673,2.8,13,54.9,0.2552,0.1599,1.596,-0.75,-1,0.09125,1,1,1.6,18.6,1.908,0.8525,13.5
2023-10-27_000LL,v2,52.7,yes,yes,M3,33.3,0.7414,0.4816,1.1,10,35.13,0.7016,0.4843,1.449,-0.25,-0.25,0.04999,0.85,1,2.5,0.0071,3.38,2.807,1.83
2023-11-02_025VP,v2,35.5,yes,yes,M3,39.1,0.4448,0.4438,1.3,1,34.18,0.5552,0.3479,1.596,0.5,0.75,0.2411,1,1,1.6,0.07486,,,-4.922
2023-11-02_036RL,v2,55.1,yes,yes,M3,33.6,0.2983,0.2008,1.8,2,37.62,0.2699,0.1691,1.596,-1.75,-1.25,0.09361,1,1,1.6,0.5457,,,4.022
2023-11-13_037GD,v2,58.2,no,no,M3,12.7,0.3022,0.208,10.3,8,44.27,0.3354,0.2029,1.653,-1.75,-2,0.368,1.2,0.85,0.8,9.736,28.09,21,31.57
2023-11-16_038RL,v2,75.7,yes,no,M3,28,0.3633,0.2319,6.3,4,43.92,0.3126,0.2158,1.449,-2,-0.5,0.2831,0.85,1,2.5,2.662,18.91,18.43,15.92
2023-11-17_005DS,v2,51,yes,yes,M3,33.4,0.4339,0.2923,4.6,13,38.9,0.3591,0.2165,1.659,-0.75,-0.25,0.1184,1,1.2,1.2,0.5427,2.404,0.2519,5.505
2023-12-11_040RP,v2,84.8,yes,no,M3,33.2,0.2089,0.14,11.1,13,29.87,0.1723,0.1189,1.449,-0.5,-1,0.3255,0.85,0.85,2.5,0.8261,3.481,5.232,-3.335
2023-12-19_041WF,v2,69.6,yes,yes,M3,56.4,0.2577,0.1527,1.3,12,55.32,0.246,0.1613,1.525,0.5,0,0.02245,1,1,2,1.755,0.01549,2.061,-1.083
2024-01-16_004DS,v2,57.8,yes,yes,M3,59.7,0.3075,0.169,1.1,8,57.26,0.1759,0.1214,1.449,-2,-0.25,0.09505,1,1.2,2.5,0.7706,2.068,0.08198,-2.438
2024-02-19_037GD,v3,66.8,yes,yes,M3,51.5,0.2657,0.1708,1.8,13,56.83,0.2607,0.1751,1.489,-1,-1,0.04415,1,1,1.6,2.075,0.04179,2.475,5.33
2024-02-21_043AS,v3,62.7,yes,yes,M3,50.9,0.3199,0.2166,1.9,9,53.55,0.3264,0.2128,1.534,-0.5,-1.5,0.09089,1,1,1.2,2.423,0.4274,2.454,2.648
2024-02-26_029CK,v3,57.8,yes,yes,M3,58.4,0.4821,0.2903,1.8,17,62.48,0.4844,0.3166,1.53,0.25,-2,0.07459,1,1,0.8,0.6347,1.142,1.363,4.08
2024-02-27_009JT,v3,55.8,yes,no,M3,39,0.3848,0.2536,8.2,8,67.51,0.3457,0.2254,1.534,-2,-1.5,0.2137,1,1.2,1.2,5.283,1.206,0.8606,28.51
2024-03-06_030DN,v3,64.1,yes,no,M3,49.5,0.3644,0.1973,7,5,59.13,0.3245,0.218,1.489,-0.75,-1.25,0.08151,1,1,1.6,2.548,3.836,3.057,9.628
2024-03-11_039CP,v3,60.9,yes,yes,M3,53.7,0.3676,0.2486,0.5,17,51.33,0.3632,0.2529,1.436,-0.75,-1.25,0.07855,1,1,2,0.01938,0.55,0.653,-2.367
2024-03-12_006KL,v3,66.7,yes,yes,M3,45.9,0.2692,0.1826,3.9,17,56.64,0.2902,0.1949,1.489,-1.25,-1,0.1822,1,1,1.6,7.914,1.377,0.9337,10.74
2024-03-12_044DY,v3,69.8,yes,yes,M3,46.7,0.2653,0.1648,2.3,15,59.45,0.246,0.1786,1.377,-2,-0.75,0.07132,1,1,2.5,0.7896,0.7382,0.2156,12.75
2024-03-14_038RL,v3,63.8,yes,yes,M3,53.9,0.5158,0.2961,1.9,16,57.02,0.5081,0.3414,1.489,1.5,1.25,0.03285,1,1,1.6,0.1381,0.01353,0.4118,3.123
2024-03-21_032WS,v3,65,yes,yes,M3,58.5,0.2835,0.1939,1.6,11,57.18,0.2888,0.1883,1.534,1,-1,0.04988,1,1,1.2,2.341,0.5263,0.7197,-1.323
2024-03-21_036RL,v3,65.4,yes,yes,M3,46.9,0.2781,0.1901,2.7,13,50.91,0.2902,0.1892,1.534,-1,-0.75,0.06677,1,1,1.2,2.382,0.3001,0.8219,4.015
2024-03-28_010AJ,v3,57.3,yes,no,M2,41.2,0.2918,0.2918,3.6,11,48.23,0.3863,0.2525,1.53,-1.25,-1.5,0.07105,1,1,0.8,2.603,10.85,9.785,7.026
2024-04-01_008CR,v3,55.5,yes,no,M3,46,0.3155,0.2873,5.9,9,38.11,0.4137,0.2704,1.53,-2,-1.75,0.1848,1.2,1,0.8,0.02985,1.444,3.615,-7.893
2024-04-03_040RP,v3,76,yes,yes,M3,56.2,0.2336,0.1507,0.8,19,44.5,0.2787,0.1817,1.534,1.75,-1,0.05935,1.2,0.85,1.2,6.774,8.537,10.91,-11.7
2024-04-09_019WR,v3,60.6,yes,yes,M3,48.4,0.4046,0.2491,3.7,11,53.23,0.3877,0.2604,1.489,-0.5,-1,0.05133,1,1,1.6,0.6665,0.2549,0.02014,4.828
2024-04-22_025VP,v3,64.1,yes,yes,M3,47.9,0.5003,0.3026,1.9,11,52.87,0.5089,0.3419,1.489,0.5,1,0.07869,1,1,1.6,0.02639,3.778,1.965,4.969
2024-04-25_042DR,v3,69.1,yes,no,M2,90.2,0.107,0.107,31.2,6,72.85,0.1614,0.1084,1.489,0,0.5,0.06167,1,1,1.6,0.6229,8.541,0.2115,-17.35
2024-05-02_023DB,v3,57.3,yes,yes,M3,55.9,0.3147,0.1831,1.8,14,57.13,0.2776,0.1865,1.488,-2,-0.75,0.08742,1,1.2,1.6,0.725,0.9954,0.4205,1.227
2024-05-06_043AS,v3,63.9,yes,yes,M3,55.9,0.2504,0.179,0.3,13,53.48,0.2984,0.1945,1.534,-0.25,-1.25,0.08989,1.2,1,1.2,4.138,0.1659,2.025,-2.418
2024-05-08_012EB,v3,73,yes,yes,M3,55.8,0.2407,0.1696,1,14,48.94,0.2405,0.1616,1.489,-1.5,-0.75,0.06517,1,0.85,1.6,0.5381,0.2222,6.769,-6.862
2024-05-13_002ZS,v3,63.9,yes,no,M3,57.8,0.3214,0.2136,1.5,10,55.17,0.3227,0.2247,1.436,-2,-0.25,0.06871,1,1,2,4.319,1.767,2.944,-2.626
2024-06-18_003PM,v3,69.8,yes,yes,M3,54.5,0.3189,0.2341,0,16,37.48,0.3245,0.2259,1.436,0.5,-0.75,0.09109,1,0.85,2,3.942,5.136,5.95,-17.02
2024-07-03_044DY,v3,69.1,yes,yes,M3,47.5,0.2869,0.1925,0,25,56.83,0.2897,0.2018,1.436,-2,-0.75,0.05214,1,1,2,0.5117,0.06048,0.3569,9.335
2024-07-29_004DS,v3,61.9,yes,yes,M3,64.5,0.3359,0.3098,1.6,20,46.19,0.3679,0.2671,1.377,-1.75,-0.5,0.1401,1,1,2.5,0.8037,0.1619,2.105,-18.31
2024-08-12_013VM,v3,67.9,yes,yes,M3,47.9,0.2923,0.2238,4.5,11,49.52,0.2831,0.1846,1.534,-1.5,-1.75,0.1286,1,1,1.2,4.744,1.392,6.441,1.625
2024-08-12_013VM,v3,66.4,yes,yes,M3,49.6,0.291,0.219,3.6,22,46.21,0.2722,0.1829,1.489,-1.25,-1.25,0.1225,1,1,1.6,4.477,0.1068,2.33,-3.389
2024-08-15_006MM,v3,62.9,yes,yes,M3,42,0.3804,0.2425,3.4,11,43.07,0.3755,0.2522,1.489,0,0,0.02937,1,1,1.6,0.446,1.04,2.054,1.071
2024-08-19_015HK,v3,58.4,yes,yes,M3,53.5,0.4735,0.32,1.8,27,51.44,0.4851,0.3259,1.489,-0.25,-0.75,0.109,1,1,1.6,2.169,1.058,0.9953,-2.06
2024-08-21_044DY,v3,69.8,yes,yes,M3,48.6,0.317,0.2159,1,23,58.24,0.3083,0.2238,1.377,-1.75,-0.25,0.05239,1,1,2.5,0.3454,0.1086,0.6888,9.645
2024-08-23_016PG,v3,51.3,yes,yes,M3,53.1,0.7891,0.4914,1.8,20,49.89,0.8396,0.564,1.489,0,-0.5,0.0662,1,1,1.6,0.2761,0.1908,0.5101,-3.207
2024-08-28_007IT,v3,66.1,yes,no,M2,70.6,0.1763,0.1763,18.3,12,66.81,0.2679,0.1746,1.534,-2,-2,0.07725,1,1,1.2,4.435,2.04,2.518,-3.793
2024-08-30_014KS,v3,59.2,yes,yes,M3,38.5,0.4764,0.3582,1.3,25,41.3,0.4795,0.3481,1.377,-2,-0.25,0.07324,1,1,2.5,0.4782,0.03319,0.3188,2.802
2024-09-03_041WF,v3,61,yes,yes,M3,58.3,0.3759,0.2356,2.2,21,56.11,0.3941,0.2569,1.534,1,-1,0.06671,1,1,1.2,4.855,7.249,5.738,-2.194
2024-09-09_043AS,v3,71.3,yes,yes,M3,55.5,0.2687,0.1929,0.7,20,55.05,0.2809,0.1887,1.489,1.5,1.25,0.05647,1,1,1.6,0.08538,3.191,1.671,-0.449
2024-09-10_008TP,v3,65.4,yes,yes,M3,53.1,0.445,0.3329,1.1,22,40.33,0.5132,0.3447,1.489,0,-0.75,0.07071,1,0.85,1.6,0.5437,0.05117,0.1868,-12.77
2024-09-10_045VS,v3,67.8,yes,yes,M3,54.3,0.3933,0.2635,1.5,21,47.28,0.4452,0.31,1.436,0.75,-0.5,0.05323,1,0.85,2,2.061,0.0789,15.38,-7.019
2024-09-24_039CP,v3,61.1,yes,yes,M3,53.3,0.3868,0.2562,1.6,14,49.59,0.3938,0.2645,1.489,0.75,-0.25,0.0289,1,1,1.6,3.696,1.578,5.918,-3.708
2024-09-24_046AA,v3,67.2,yes,yes,M3,53.5,0.3111,0.2066,0.4,6,55.31,0.2764,0.2007,1.377,0.5,0,0.03539,0.85,1,2.5,0.1797,2.291,1.07,1.805
2024-09-26_009ML,v3,61.9,yes,yes,M3,50.4,0.3873,0.2664,0.9,16,50.22,0.4053,0.2723,1.489,-0.75,-0.5,0.08098,1,1,1.6,2.144,0.02508,0.3731,-0.1775
2024-09-27_036RL,v3,68.7,yes,yes,M3,49.5,0.2302,0.1561,2.1,16,48.95,0.2216,0.1489,1.489,-0.75,-0.25,0.04206,1,1,1.6,3.183,6.055,5.521,-0.5489
2024-10-02_011CN,v3,67,yes,yes,M3,55.8,0.3968,0.2787,2.7,11,54.03,0.3458,0.2323,1.489,-0.5,-1.25,0.1151,0.85,1,1.6,1.435,0.5844,1.053,-1.766
2024-10-02_018CS,v3,42.4,yes,no,M3,46.6,0.5754,0.3698,4.9,5,57.21,0.4233,0.2844,1.488,-2,-1.25,0.1793,0.85,1.2,1.6,3.618,1.543,3.41,10.61
2024-10-08_009JT,v3,65.1,yes,no,M3,57.7,0.3761,0.2654,6.7,9,49.18,0.3327,0.2169,1.534,-0.5,-1.75,0.2438,1,1,1.2,5.331,3.252,0.4534,-8.52
2024-10-10_019LR,v3,70.6,yes,yes,M3,46.1,0.3614,0.3015,1.5,7,28.41,0.3486,0.2427,1.436,-1,-1.5,0.09364,1,0.85,2,2.172,5.009,0.005642,-17.69
2024-10-16_020JS,v3,60.5,yes,no,M2,57.7,0.2383,0.2383,5.9,12,73.3,0.3099,0.2021,1.534,-2,-1.5,0.1475,1,1.2,1.2,1.727,0.4311,1.719,15.6
2024-10-16_047SS,v3,61.3,yes,yes,M3,55.3,0.3231,0.2462,3.3,9,67.39,0.2895,0.1888,1.534,-2,-0.75,0.1249,1,1.2,1.2,0.505,0.05104,0.02493,12.09
2024-10-17_048JJ,v3,59.1,yes,yes,M3,49.1,0.3909,0.2328,2.1,11,48.82,0.3768,0.2457,1.534,-0.5,-1.75,0.05549,1,1,1.2,8.291,12.16,3.997,-0.2849
2024-10-22_021CH,v3,59.1,yes,yes,M3,61.1,0.504,0.3932,1.8,15,58.16,0.5039,0.3294,1.53,-0.25,-1.75,0.1404,1,1,0.8,2.34,0.3529,0.827,-2.941
2024-10-23_047SS,v3,33.4,yes,no,M3,68.1,0.1759,0.133,18.5,11,46.86,0.4499,0.2941,1.53,0.5,1,0.1849,1.4,1.4,0.8,11.12,0.02063,3.186,-21.24
2024-10-28_022VT,v3,62.8,yes,yes,M3,48.8,0.3228,0.2459,3,11,50.46,0.3117,0.2094,1.489,-1.75,-2,0.1951,1,1,1.6,5.378,0.1615,2.959,1.662
2024-10-29_049WG,v3,59.7,yes,yes,M3,55.3,0.4152,0.2676,1,14,53.13,0.4346,0.2919,1.489,0,-0.5,0.05506,1,1,1.6,0.5051,2.484,2.157,-2.169
2024-11-05_023LL,v3,56,yes,yes,M3,49.5,0.4779,0.3173,0,14,60.88,0.3965,0.2585,1.534,-1.75,-1,0.09929,1,1.2,1.2,0.6128,2.335,2.083,11.38
2024-11-13_025JC,v3,42.1,yes,yes,M3,51.5,1.348,0.7291,1.8,15,47.49,1.162,0.8434,1.377,-1,0,0.1012,0.85,1,2.5,0.1071,0.04123,1.424,-4.013
2024-11-18_026CH,v3,76.1,yes,yes,M3,63.3,0.328,0.2353,1.5,11,36.1,0.3596,0.2344,1.534,0.75,0.25,0.1615,1.2,0.85,1.2,2.357,0.1379,1.886,-27.2
2024-11-26_050EH,v3,58,yes,yes,M3,47.7,0.3176,0.2229,4.1,13,71.64,0.3144,0.2112,1.488,-1.5,-0.5,0.05932,1,1.2,1.6,2.603,0.4686,4.004,23.94
2024-12-05_043AS,v3,55.5,yes,no,M2,59.4,0.154,0.154,0.3,6,51.04,0.2193,0.1473,1.489,0.25,-1,0.08674,1,1,1.6,2.834,3.05,4.648,-8.365
2024-12-06_051VM,v3,71.3,yes,no,M2,47.6,0.164,0.164,2.7,10,45.83,0.2487,0.1671,1.489,-1.25,-1.5,0.1803,1,1,1.6,1.723,1.058,1.086,-1.774
2024-12-09_027JC,v3,47.6,yes,yes,M3,50.3,0.3669,0.2878,0.8,1,53.79,0.3903,0.2551,1.53,-0.75,-1.75,0.1455,1.2,1,0.8,4.367,,,3.491
