key,rbc_tp_solve,bins_solved,bins_near_target,target_ratio,median_logged_R
2023-01-31_000LL,invalid,16,0,0.515,125.541
2023-03-08_017AK,no split (no RBC/TP fit),,,,
2023-03-09_023DB,no split (no RBC/TP fit),,,,
2023-03-10_004LR,no split (no RBC/TP fit),,,,
2023-03-24_029CK,no split (no RBC/TP fit),,,,
2023-03-27_02BB,no split (no RBC/TP fit),,,,
2023-03-31_032WS,no split (no RBC/TP fit),,,,
2023-04-07_030DN,valid,16,16,0.528,0.535
2023-04-11_000KR,gas-only acquisition,,,,
2023-04-14_000KR,gas-only acquisition,,,,
2023-04-18_021JM,invalid,16,0,0.266,110.227
2023-04-26_023DB,invalid,16,0,0.157,151.986
2023-05-02_011BA,invalid,16,0,0.255,78.817
2023-05-02_012SR,invalid,16,0,0.176,117.245
2023-05-04_034LR,invalid,16,0,0.661,85.997
2023-05-15_000SK,invalid,16,0,0.472,232.551
2023-05-15_035EK,invalid,16,0,0.266,291.129
2023-05-18_000SV,invalid,16,0,0.206,246.262
2023-08-24_030DN,valid,16,16,1.637,1.651
2023-09-25_032WS,invalid,16,0,0.14,10.9
2023-10-10_002BB,invalid,16,0,0.166,82.335
2023-10-20_001JM,valid,16,16,0.704,0.699
2023-10-25_002JM,invalid,16,0,0.337,211.26
2023-10-27_000LL,invalid,16,0,0.577,146.142
2023-10-31_003KH,valid,16,16,1.581,1.591
2023-11-02_025VP,no split (no RBC/TP fit),,,,
2023-11-02_036RL,invalid,16,0,0.133,189.039
2023-11-03_000LL,gas-only acquisition,,,,
2023-11-06_002ZS,invalid,16,0,0.214,14.144
2023-11-13_037GD,valid,16,16,0.248,0.243
2023-11-16_038RL,invalid,16,0,0.273,120.514
2023-11-17_005DS,invalid,16,0,0.231,239.983
2023-11-21_039CP,invalid,16,0,0.201,159.394
2023-12-06_003PM,invalid,16,0,0.43,266.78
2023-12-11_040RP,valid,16,16,0.128,0.141
2023-12-15_003KH,valid,16,16,1.633,1.623
2023-12-19_041WF,valid,16,16,0.152,0.167
2024-01-16_004DS,valid,16,16,0.082,0.089
2024-01-17_042DR,gas-only acquisition,,,,
2024-01-18_001JM,gas-only acquisition,,,,
2024-01-22_007RA,gas-only acquisition,,,,
2024-01-31_008CR,gas-only acquisition,,,,
2024-02-02_000LL,no split (no RBC/TP fit),,,,
2024-02-02_005DS,no split (no RBC/TP fit),,,,
2024-02-19_037GD,valid,16,16,0.149,0.174
2024-02-21_043AS,invalid,16,0,0.184,21.478
2024-02-26_029CK,invalid,16,0,0.321,12.193
2024-02-27_009JT,invalid,16,0,0.217,6.865
2024-03-06_030DN,valid,16,16,0.204,0.255
2024-03-11_039CP,invalid,16,0,0.238,22.117
2024-03-12_006KL,valid,16,16,0.166,0.177
2024-03-12_044DY,partial,16,5,0.153,0.268
2024-03-14_038RL,invalid,16,0,0.338,70.54
2024-03-21_032WS,valid,16,16,0.178,0.212
2024-03-21_036RL,invalid,16,0,0.155,18.872
2024-03-28_010AJ,invalid,16,0,0.208,167.513
2024-04-01_008CR,invalid,16,0,0.218,285.234
2024-04-03_040RP,valid,16,16,0.142,0.152
2024-04-09_019WR,invalid,16,0,0.25,25.891
2024-04-22_025VP,invalid,16,0,0.327,73.893
2024-04-25_042DR,invalid,16,0,-0.118,231.207
2024-04-29_011CN,no split (no RBC/TP fit),,,,
2024-05-02_023DB,invalid,16,0,0.167,70.77
2024-05-06_043AS,valid,16,16,0.146,0.181
2024-05-08_012EB,valid,16,16,0.113,0.131
2024-05-13_002ZS,invalid,16,0,0.195,46.349
2024-05-13_005JJ,valid,16,16,0.115,0.13
2024-06-18_003PM,invalid,16,0,0.194,20.028
2024-07-03_044DY,invalid,16,0,0.173,32.708
2024-07-29_004DS,invalid,16,0,0.256,99.138
2024-08-12_013VM,invalid,16,0,0.146,34.416
2024-08-15_006MM,invalid,16,0,0.219,97.815
2024-08-19_015HK,invalid,16,0,0.318,54.882
2024-08-21_044DY,invalid,16,0,0.204,33.848
2024-08-23_016PG,invalid,16,0,0.584,69.688
2024-08-28_007IT,no split (no RBC/TP fit),,,,
2024-08-30_014KS,invalid,16,0,0.338,122.118
2024-09-03_041WF,partial,8,2,0.254,1.224
2024-09-09_043AS,partial,16,6,0.158,0.259
2024-09-10_008TP,invalid,16,0,0.311,65.942
2024-09-10_045VS,invalid,16,0,0.293,33.633
2024-09-24_039CP,invalid,16,0,0.258,38.646
2024-09-24_046AA,invalid,16,0,0.205,17.495
2024-09-25_017ED,partial,16,8,0.276,0.421
2024-09-26_009ML,invalid,16,0,0.25,37.416
2024-09-27_036RL,partial,16,4,0.113,0.18
2024-10-02_011CN,invalid,16,0,0.251,63.101
2024-10-02_018CS,invalid,16,0,0.345,85.362
2024-10-08_009JT,invalid,16,0,0.201,38.864
2024-10-10_019LR,invalid,16,0,0.203,97.208
2024-10-16_020JS,valid,16,16,0.191,0.224
2024-10-16_047SS,partial,16,5,0.172,0.418
2024-10-17_048JJ,invalid,16,0,0.228,42.678
2024-10-22_021CH,invalid,16,0,0.331,44.276
2024-10-23_047SS,valid,16,16,0.244,0.264
2024-10-28_022VT,invalid,16,0,0.18,14.123
2024-10-29_049WG,invalid,16,0,0.278,21.076
2024-11-05_023LL,invalid,16,0,0.251,55.701
2024-11-13_025JC,invalid,16,0,0.93,102.819
2024-11-18_026CH,invalid,16,0,0.145,65.608
2024-11-26_050EH,invalid,13,0,0.199,3.104
2024-12-05_043AS,partial,16,8,0.119,0.181
2024-12-06_051VM,invalid,16,0,0.145,27.247
2024-12-09_027JC,invalid,16,0,0.186,40.192
