a,b,shift,overlap,gas_align,dis,tm,rbc,gas_hp,dis_hp,tm_hp,rbc_hp
2024-02-27_009JT,2024-10-08_009JT,"(-3, 2, 8)",75557,0.379,0.529,0.45,0.058,0.42,0.457,0.33,0.07
2023-09-25_032WS,2024-03-21_032WS,"(-3, -5, 0)",101711,0.825,0.917,0.701,0.43,0.801,0.838,0.672,0.309
2023-11-02_036RL,2024-03-21_036RL,"(8, -7, 1)",90690,0.623,0.778,0.703,0.1,0.507,0.668,0.524,0.192
2023-11-02_036RL,2024-09-27_036RL,"(11, -5, 1)",83667,0.615,0.82,0.605,0.204,0.459,0.652,0.43,0.148
2024-03-21_036RL,2024-09-27_036RL,"(3, 1, 0)",86426,0.701,0.868,0.816,0.533,0.619,0.818,0.715,0.355
2024-03-11_039CP,2024-09-24_039CP,"(-4, 3, -4)",73369,0.546,0.909,0.843,0.542,0.409,0.821,0.7,0.275
2024-02-21_043AS,2024-05-06_043AS,"(-2, 0, 0)",94776,0.837,0.946,0.913,0.758,0.828,0.926,0.868,0.548
2024-02-21_043AS,2024-09-09_043AS,"(9, 4, 0)",81274,0.747,0.945,0.905,0.679,0.674,0.895,0.815,0.422
2024-02-21_043AS,2024-12-05_043AS,"(8, -2, 8)",84260,0.754,0.918,0.877,0.551,0.693,0.826,0.762,0.342
2024-05-06_043AS,2024-09-09_043AS,"(11, 4, 0)",81607,0.806,0.945,0.929,0.729,0.748,0.904,0.857,0.502
2024-05-06_043AS,2024-12-05_043AS,"(9, -2, 8)",82760,0.685,0.864,0.833,0.529,0.653,0.793,0.75,0.324
2024-09-09_043AS,2024-12-05_043AS,"(-1, -7, 9)",77160,0.754,0.894,0.859,0.498,0.699,0.806,0.739,0.282
2024-03-12_044DY,2024-07-03_044DY,"(5, 3, -2)",74520,0.62,0.889,0.846,0.48,0.482,0.817,0.712,0.31
2024-03-12_044DY,2024-08-21_044DY,"(-5, -1, -7)",72484,0.565,0.83,0.773,0.435,0.436,0.724,0.619,0.244
2024-07-03_044DY,2024-08-21_044DY,"(-9, -4, -4)",72284,0.819,0.958,0.912,0.716,0.729,0.912,0.816,0.452
