key,grade,sep,why,score,trust_rank
2024-09-03_041WF,A,b44 (σ4.4 container split),"parts AAAA: gain 1.18, resolvable 0.93, excess -2.9%",5.071107319964318,1
2024-09-26_009ML,A,b44 (σ4.4 container split),"parts AAAA: gain 1.30, resolvable 0.98, excess -1.8%",5.069845317320762,2
2024-08-19_015HK,A,b44 (σ4.4 container split),"parts AAAA: gain 1.24, resolvable 0.96, excess -1.8%",5.051977913217472,3
2024-09-10_008TP,A,b44 (σ4.4 container split),"parts AAAA: gain 1.25, resolvable 0.98, excess -1.4%",5.048278859382042,4
2024-09-24_039CP,A,b44 (σ4.4 container split),"parts AAAA: gain 1.25, resolvable 0.99, excess -1.2%",5.047923013377504,5
2024-02-26_029CK,A,b44 (σ4.4 container split),"parts AAAA: gain 1.17, resolvable 0.96, excess -1.6%",5.043990806095272,6
2024-09-09_043AS,A,b44 (σ4.4 container split),"parts AAAA: gain 1.21, resolvable 0.98, excess -1.3%",5.039816958357253,7
2024-11-13_025JC,A,b44 (σ4.4 container split),"parts AAAA: gain 1.28, resolvable 0.97, excess -0.9%",5.021203772656738,8
2024-02-21_043AS,A,b44 (σ4.4 container split),"parts AAAA: gain 1.29, resolvable 0.97, excess -0.8%",5.009441821852773,9
2024-06-18_003PM,A,b44 (σ4.4 container split),"parts AAAA: gain 1.22, resolvable 0.93, excess -1.5%",5.006112253577033,10
2024-08-23_016PG,A,b44 (σ4.4 container split),"parts AAAA: gain 1.25, resolvable 0.95, excess -1.0%",5.004766853611636,11
2024-03-14_038RL,A,b44 (σ4.4 container split),"parts AAAA: gain 1.24, resolvable 0.96, excess -0.8%",5.0045860142162075,12
2024-10-17_048JJ,A,b44 (σ4.4 container split),"parts AAAA: gain 1.31, resolvable 0.90, excess -2.0%",4.999757010625133,13
2024-09-10_045VS,A,b44 (σ4.4 container split),"parts AAAA: gain 1.23, resolvable 0.97, excess -0.3%",4.982146079858949,14
2024-03-11_039CP,A,b44 (σ4.4 container split),"parts AAAA: gain 1.24, resolvable 0.96, excess -0.3%",4.9771448207229305,15
2024-04-09_019WR,A,b44 (σ4.4 container split),"parts AAAA: gain 1.33, resolvable 0.93, excess -0.0%",4.926164127126243,16
2024-04-03_040RP,A,b44 (σ4.4 container split),"parts AAAA: gain 1.21, resolvable 0.79, excess -1.5%",4.866512915821155,17
2024-12-05_043AS,A,b44 (σ4.4 container split),"parts AAAA: gain 1.18, resolvable 0.91, excess +1.6%",4.827241362250713,18
2024-03-21_032WS,B,b44 (σ4.4 container split),"parts ABAA: gain 1.17, resolvable 0.97, excess -2.7%",4.108993369477826,19
2024-07-03_044DY,B,b44 (σ4.4 container split),"parts BAAA: gain 1.36, resolvable 0.96, excess -2.1%",4.062931475369686,20
2024-08-30_014KS,B,b44 (σ4.4 container split),"parts BAAA: gain 1.61, resolvable 0.97, excess -1.9%",4.060944337482671,21
2024-03-21_036RL,B,b44 (σ4.4 container split),"parts BAAA: gain 1.38, resolvable 0.93, excess -2.4%",4.051232022569233,22
2024-09-27_036RL,B,b44 (σ4.4 container split),"parts ABAA: gain 1.34, resolvable 0.95, excess -1.9%",4.046392116940317,23
