key,year,carrier,carrier_ppm,status,xecs_stable,atlas_set,TE_us,t_k0_us,df_hz,phi_k0_deg,dphi_rep_sd,phi_at_TE_deg,TE90_us,TE90_sd_us,dTE_us,F_lump,ratio_scalar,snr_diss
2023-01-31_000LL,2023,ON_RBC,218.1,resplit,yes,yes,600.0,610.0,346.7,34.5,3.0,33.3,1054.7,24.0,454.7,1.8,0.4,55.4
2023-04-18_021JM,2023,ON_RBC,217.9,gated,no,no,600.0,610.0,344.5,25.4,6.8,24.2,1130.9,54.8,530.9,2.0,0.3,41.0
2023-04-26_023DB,2023,ON_RBC,217.9,gated,no,no,600.0,610.0,355.8,29.0,2.6,27.7,1086.2,20.3,486.2,1.0,0.2,44.6
2023-05-02_011BA,2023,ON_RBC,218.1,resplit,yes,yes,600.0,610.0,342.6,40.4,4.9,39.2,1012.2,39.7,412.2,1.6,0.2,53.0
2023-05-02_012SR,2023,ON_RBC,218.1,resplit,yes,yes,600.0,610.0,355.8,33.9,7.8,32.6,1048.0,60.9,448.0,1.8,0.2,62.9
2023-05-15_035EK,2023,ON_RBC,218.3,resplit,yes,yes,600.0,610.0,332.9,33.8,7.0,32.6,1078.9,58.4,478.9,1.4,0.3,56.3
2023-05-18_000SV,2023,ON_RBC,218.0,resplit,yes,yes,600.0,610.0,335.4,32.5,5.9,31.3,1086.2,48.9,486.2,1.6,0.2,59.2
2023-09-25_032WS,2023,ON_RBC,218.1,resplit,yes,yes,600.0,610.0,369.5,41.4,6.0,40.1,975.4,45.1,375.4,1.5,0.2,70.2
2023-10-27_000LL,2023,BETWEEN,214.4,resplit,yes,no,600.0,610.0,350.0,33.3,2.0,32.0,1060.0,15.9,460.0,1.5,0.5,52.7
2023-11-02_036RL,2023,ON_RBC,218.0,resplit,yes,yes,600.0,610.0,330.7,33.6,,32.4,1083.7,,483.7,1.5,0.2,55.1
2023-11-13_037GD,2023,ON_RBC,218.1,gated,no,no,600.0,610.0,381.5,12.7,31.0,11.3,1172.8,225.7,572.8,1.5,0.2,58.2
2023-11-16_038RL,2023,BELOW_MEM,175.2,resplit,no,no,600.0,610.0,342.9,28.0,2.6,26.8,1112.3,21.1,512.3,1.6,0.2,75.7
2023-11-17_005DS,2023,ON_RBC,218.2,resplit,yes,yes,600.0,610.0,323.7,33.4,6.1,32.2,1095.7,52.3,495.7,1.5,0.3,51.0
2023-12-11_040RP,2023,ON_RBC,218.1,gated,no,no,600.0,610.0,348.6,33.2,7.5,31.9,1062.6,59.8,462.6,1.5,0.1,84.8
2023-12-19_041WF,2023,BETWEEN,206.2,resplit,yes,no,600.0,610.0,356.8,56.4,2.9,55.1,871.6,22.6,271.6,1.7,0.2,69.6
2024-01-16_004DS,2024,ON_MEM,196.9,resplit,yes,no,600.0,610.0,285.6,59.7,11.2,58.7,904.7,108.9,304.7,1.8,0.2,57.8
2024-02-19_037GD,2024,ON_RBC,217.8,resplit,yes,yes,620.0,630.0,350.2,51.5,4.6,50.2,935.4,36.5,315.4,1.6,0.2,66.8
2024-02-21_043AS,2024,ON_RBC,218.0,resplit,yes,yes,620.0,630.0,351.0,50.9,2.8,49.6,939.4,22.2,319.4,1.5,0.2,62.7
2024-02-26_029CK,2024,ON_RBC,217.9,resplit,yes,yes,620.0,630.0,359.6,58.4,1.6,57.1,874.1,12.4,254.1,1.7,0.3,57.8
2024-02-27_009JT,2024,ON_RBC,218.1,resplit,no,yes,620.0,630.0,345.5,39.0,7.3,37.8,1040.0,58.7,420.0,1.5,0.3,55.8
2024-03-06_030DN,2024,ON_RBC,218.0,resplit,no,yes,620.0,630.0,355.0,49.5,5.9,48.2,946.9,46.2,326.9,1.8,0.2,64.1
2024-03-11_039CP,2024,ON_RBC,218.1,resplit,yes,yes,620.0,630.0,348.4,53.7,2.2,52.4,919.4,17.5,299.4,1.5,0.2,60.9
2024-03-12_006KL,2024,ON_RBC,218.0,resplit,yes,yes,620.0,630.0,333.4,45.9,7.6,44.7,997.4,63.3,377.4,1.5,0.2,66.7
2024-03-12_044DY,2024,ON_RBC,218.0,resplit,yes,yes,620.0,630.0,339.7,46.7,3.3,45.5,984.1,27.0,364.1,1.6,0.2,69.8
2024-03-14_038RL,2024,ON_RBC,217.9,resplit,yes,yes,620.0,630.0,348.8,53.9,2.6,52.6,917.5,20.7,297.5,1.7,0.3,63.8
2024-03-21_032WS,2024,ON_RBC,217.7,resplit,yes,yes,620.0,630.0,364.2,58.5,4.9,57.2,870.3,37.4,250.3,1.5,0.2,65.0
2024-03-21_036RL,2024,ON_RBC,217.9,resplit,yes,yes,620.0,630.0,333.7,46.9,3.2,45.7,988.8,26.6,368.8,1.5,0.2,65.4
2024-03-28_010AJ,2024,ON_RBC,217.3,resplit,no,yes,620.0,630.0,338.1,41.2,2.2,40.0,1030.9,18.1,410.9,1.0,0.3,57.3
2024-04-01_008CR,2024,ON_RBC,217.8,resplit,no,yes,620.0,630.0,296.7,46.0,9.1,44.9,1041.9,85.2,421.9,1.1,0.3,55.5
2024-04-03_040RP,2024,ON_RBC,217.8,resplit,yes,yes,620.0,630.0,359.8,56.2,3.3,54.9,890.9,25.5,270.9,1.6,0.2,76.0
2024-04-09_019WR,2024,ON_RBC,217.7,resplit,yes,yes,620.0,630.0,350.1,48.4,3.6,47.1,960.1,28.6,340.1,1.6,0.2,60.6
2024-04-22_025VP,2024,ON_RBC,218.1,resplit,yes,yes,620.0,630.0,337.7,47.9,4.0,46.7,976.3,32.9,356.3,1.7,0.3,64.1
2024-04-25_042DR,2024,ON_RBC,217.8,gated,no,no,620.0,630.0,322.6,90.2,0.4,89.0,628.3,3.4,8.3,1.0,0.1,69.1
2024-05-02_023DB,2024,ON_RBC,217.9,resplit,yes,yes,620.0,630.0,319.4,55.9,11.9,54.8,926.6,103.5,306.6,1.7,0.2,57.3
