session,status,rule_largest,k0_primary,pipeline_log,all_dyn_dats(MID:size)
2023-01-31_000LL,OK,MID00210,MID00210,MID00210,MID00210:122MB
2023-03-08_017AK,OK,MID00220,MID00220,MID00220,MID00220:998MB MID00216:139MB
2023-03-09_023DB,OK,MID00246,MID00246,MID00246,MID00246:994MB MID00243:94MB
2023-03-10_004LR,OK,MID00124,MID00124,MID00124,MID00124:1317MB MID00123:97MB
2023-03-24_029CK,OK,MID00349,MID00349,MID00349,MID00349:1535MB MID00347:83MB
2023-03-27_02BB,OK,MID00429,MID00429,MID00429,MID00429:1179MB MID00428:118MB
2023-03-31_032WS,OK,MID00584,MID00584,MID00584,MID00584:2067MB MID00583:108MB
2023-04-07_030DN,OK,MID00071,MID00071,,MID00071:151MB MID00067:26MB
2023-04-11_000KR,OK,MID00156,MID00156,MID00156,MID00156:138MB
2023-04-14_000KR,OK,MID00238,MID00238,MID00238,MID00238:117MB MID00239:18MB
2023-04-18_021JM,OK,MID00272,MID00272,,MID00272:114MB MID00265:12MB
2023-04-26_023DB,OK,MID00305,MID00305,,MID00305:128MB MID00297:19MB
2023-05-02_011BA,OK,MID00045,MID00045,,MID00045:144MB MID00040:10MB
2023-05-02_012SR,OK,MID00127,MID00127,,MID00127:138MB MID00121:13MB
2023-05-04_034LR,OK,MID00231,MID00231,,MID00231:135MB
2023-05-15_000SK,OK,MID00114,MID00114,MID00114,MID00114:117MB MID00103:15MB
2023-05-15_035EK,OK,MID00133,MID00133,,MID00133:127MB MID00128:12MB
2023-05-18_000SV,OK,MID00119,MID00119,MID00119,MID00119:121MB
2023-08-24_030DN,OK,MID00043,MID00043,,MID00043:116MB MID00033:16MB
2023-09-25_032WS,OK,MID00095,MID00095,,MID00095:108MB
2023-10-10_002BB,OK,MID00355,MID00355,,MID00355:85MB
2023-10-20_001JM,OK,MID01637,MID01637,,MID01637:159MB
2023-10-25_002JM,OK,MID02659,MID02659,,MID02659:27MB MID02657:11MB
2023-10-27_000LL,OK,MID02670,MID02670,MID02670,MID02670:50MB
2023-10-31_003KH,OK,MID02713,MID02713,,MID02713:135MB MID02698:17MB
2023-11-02_025VP,OK,MID02743,MID02743,MID02743,MID02743:41MB MID02741:18MB
2023-11-02_036RL,OK,MID02779,MID02779,,MID02779:50MB MID02771:9MB
2023-11-03_000LL,OK,MID02798,MID02798,MID02798,MID02798:90MB MID02793:5MB
2023-11-06_002ZS,OK,MID02832,MID02832,,MID02832:95MB MID02829:15MB
2023-11-13_037GD,OK,MID03140,MID03140,,MID03140:91MB MID03136:17MB
2023-11-16_038RL,OK,MID03634,MID03634,,MID03634:100MB MID03633:17MB
2023-11-17_005DS,OK,MID03672,MID03672,,MID03672:77MB MID03671:19MB
2023-11-21_039CP,OK,MID00041,MID00041,,MID00041:109MB MID00040:13MB
2023-12-06_003PM,OK,MID00034,MID00034,,MID00034:86MB MID00032:1MB
2023-12-11_040RP,OK,MID00173,MID00173,,MID00173:112MB MID00172:10MB
2023-12-15_003KH,OK,MID00345,MID00345,,MID00345:98MB MID00344:17MB
2023-12-19_041WF,OK,MID00458,MID00458,,MID00458:64MB MID00457:7MB
2024-01-16_004DS,OK,MID00057,MID00057,,MID00057:25MB MID00056:9MB
2024-01-17_042DR,OK,MID00171,MID00171,MID00171,MID00171:688MB
2024-01-18_001JM,OK,MID00218,MID00218,,MID00218:867MB MID00206:85MB
2024-01-22_007RA,OK,MID00269,MID00269,,MID00269:864MB
2024-01-31_008CR,OK,MID00199,MID00199,,MID00199:439MB MID00194:264MB MID00157:87MB MID00177:77MB MID00189:53MB MID00188:19MB MID00186:5MB
2024-02-02_000LL,OK,MID00140,MID00140,MID00140,MID00140:439MB
2024-02-02_005DS,OK,MID00058,MID00058,MID00058,MID00058:570MB MID00035:91MB
2024-02-19_037GD,OK,MID00219,MID00219,,MID00219:109MB MID00213:17MB
2024-02-21_043AS,OK,MID00121,MID00121,,MID00121:127MB MID00120:14MB
2024-02-26_029CK,OK,MID00268,MID00268,,MID00268:69MB MID00254:10MB
2024-02-27_009JT,OK,MID00336,MID00336,,MID00336:94MB MID00333:22MB
2024-03-06_030DN,OK,MID00543,MID00543,MID00543,MID00543:72MB MID00545:54MB MID00515:16MB MID00544:0MB
2024-03-11_039CP,OK,MID00086,MID00086,,MID00086:73MB MID00085:15MB
2024-03-12_006KL,OK,MID00175,MID00175,,MID00175:59MB MID00154:6MB
2024-03-12_044DY,OK,MID00123,MID00123,,MID00123:57MB
2024-03-14_038RL,OK,MID00232,MID00232,,MID00232:83MB MID00225:12MB
2024-03-21_032WS,OK,MID00438,MID00438,,MID00438:100MB MID00408:14MB
2024-03-21_036RL,OK,MID00384,MID00384,,MID00384:82MB MID00364:16MB
2024-03-28_010AJ,OK,MID00062,MID00062,,MID00062:52MB MID00033:14MB
2024-04-01_008CR,OK,MID00134,MID00134,,MID00134:90MB MID00132:14MB
2024-04-03_040RP,OK,MID00197,MID00197,,MID00197:43MB MID00192:12MB
2024-04-09_019WR,OK,MID00321,MID00321,,MID00321:71MB MID00320:20MB
2024-04-22_025VP,OK,MID00090,MID00090,,MID00090:70MB MID00070:11MB
2024-04-25_042DR,OK,MID00181,MID00181,,MID00181:66MB MID00157:10MB
2024-04-29_011CN,OK,MID00219,MID00219,MID00219,MID00219:18MB
2024-05-02_023DB,OK,MID00330,MID00330,,MID00330:74MB MID00311:10MB
2024-05-06_043AS,OK,MID00383,MID00383,,MID00383:128MB MID00369:11MB
2024-05-08_012EB,OK,MID00480,MID00480,,MID00480:85MB
2024-05-13_002ZS,OK,MID00525,MID00525,,MID00525:49MB MID00513:8MB
2024-05-13_005JJ,OK,MID00564,MID00564,,MID00564:67MB MID00543:15MB
2024-06-18_003PM,OK,MID00481,MID00481,,MID00481:54MB MID00480:8MB
